三ノ宮,新神戸,学院前,ｷｬﾝﾊﾟｽ前
7:40,7:45,8:44,→
9:00,9:05,10:04,→
10:00,10:05,11:05,11:06
11:00,11:05,12:06,→
11:50,11:55,12:56,→
12:50,12:55,13:57,→
13:50,13:55,14:57,→
14:50,14:55,15:57,→
15:50,15:55,16:57,→
17:00,17:05,18:09,→
17:40,17:45,18:47,→
18:00,18:05,19:07,→
19:00,19:05,20:06,→
20:00,20:05,21:06,→
20:30,20:35,21:36,→
21:20,21:25,22:24,→
21:40,21:45,22:44,→
22:00,22:05,23:04,→
